// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobRandomGroupID,MobID,DummyName,Rate

MOBG_Branch_Of_Dead_Tree,0,Scorpion,1001
MOBG_Branch_Of_Dead_Tree,1001,ç²¤l,214285
MOBG_Branch_Of_Dead_Tree,1002,ªi§Q,1000000
MOBG_Branch_Of_Dead_Tree,1004,¸Á§L,357142
MOBG_Branch_Of_Dead_Tree,1005,§l¦å½¿½»,357142
MOBG_Branch_Of_Dead_Tree,1007,ºñ´Ö¦ä,428571
MOBG_Branch_Of_Dead_Tree,1008,¦ä¸º,71428
MOBG_Branch_Of_Dead_Tree,1009,¨rÆN,357142
MOBG_Branch_Of_Dead_Tree,1010,¾ðºë,357142
MOBG_Branch_Of_Dead_Tree,1011,»aÃÇ,357142
MOBG_Branch_Of_Dead_Tree,1012,Ã¹¹Fµì,357142
MOBG_Branch_Of_Dead_Tree,1013,¯T,357142
MOBG_Branch_Of_Dead_Tree,1014,Å]Û£,357142
MOBG_Branch_Of_Dead_Tree,1015,»G¤r,357142
MOBG_Branch_Of_Dead_Tree,1016,¨¸Àe¤}½b¤â,214285
MOBG_Branch_Of_Dead_Tree,1018,§J·ç¦Ì,357142
MOBG_Branch_Of_Dead_Tree,1019,¤j¼L³¾,357142
MOBG_Branch_Of_Dead_Tree,1020,°ÒªûÃ¹Å]ªá,357142
MOBG_Branch_Of_Dead_Tree,1023,Ã~¤H¾Ô¤h,214285
MOBG_Branch_Of_Dead_Tree,1024,´ËÆF,357142
MOBG_Branch_Of_Dead_Tree,1025,«C³D,357142
MOBG_Branch_Of_Dead_Tree,1026,»ø¤r,214285
MOBG_Branch_Of_Dead_Tree,1028,¨¸Àe¤h§L,214285
MOBG_Branch_Of_Dead_Tree,1029,³D¤k¥ìµ·,71428
MOBG_Branch_Of_Dead_Tree,1030,¬r³D,214285
MOBG_Branch_Of_Dead_Tree,1031,ªiªi§Q,357142
MOBG_Branch_Of_Dead_Tree,1032,²¦µÜ¯S,214285
MOBG_Branch_Of_Dead_Tree,1033,ªø¦Ñ¾ðºë,214285
MOBG_Branch_Of_Dead_Tree,1034,¹F©Ôµì,214285
MOBG_Branch_Of_Dead_Tree,1035,¨ª»aÃÇ,71428
MOBG_Branch_Of_Dead_Tree,1036,ºñ»G¤r,214285
MOBG_Branch_Of_Dead_Tree,1037,¶Â³D,71428
MOBG_Branch_Of_Dead_Tree,1040,¥¨¥Û©Ç,214285
MOBG_Branch_Of_Dead_Tree,1041,¤ì¤D¥ì,214285
MOBG_Branch_Of_Dead_Tree,1042,ºñ»aÃÇ,357142
MOBG_Branch_Of_Dead_Tree,1044,¤H³½,214285
MOBG_Branch_Of_Dead_Tree,1045,°¨§J,214285
MOBG_Branch_Of_Dead_Tree,1047,¤j¼L³¾³J,71428
MOBG_Branch_Of_Dead_Tree,1048,µs¦ä§Z,71428
MOBG_Branch_Of_Dead_Tree,1049,¤pÂû,357142
MOBG_Branch_Of_Dead_Tree,1050,³J´ß¤pÂû,357142
MOBG_Branch_Of_Dead_Tree,1051,µs¦ä,357142
MOBG_Branch_Of_Dead_Tree,1052,½À¦ä,357142
MOBG_Branch_Of_Dead_Tree,1053,¯B°Çµs¦ä,357142
MOBG_Branch_Of_Dead_Tree,1054,º¿°Çµs¦ä,357142
MOBG_Branch_Of_Dead_Tree,1055,¼¯¥d,357142
MOBG_Branch_Of_Dead_Tree,1056,¯W¿ß,357142
MOBG_Branch_Of_Dead_Tree,1057,·È·ÈµU,357142
MOBG_Branch_Of_Dead_Tree,1058,­«ª÷ÄÝ½À¦ä,214285
MOBG_Branch_Of_Dead_Tree,1060,¤j¸}ºµ,214285
MOBG_Branch_Of_Dead_Tree,1061,¹ÚÆL,71428
MOBG_Branch_Of_Dead_Tree,1062,Éo½Ïªi§Q,357142
MOBG_Branch_Of_Dead_Tree,1063,ºÆ¨ß,357142
MOBG_Branch_Of_Dead_Tree,1064,¨¸Àe­¹¤H³½,214285
MOBG_Branch_Of_Dead_Tree,1065,®ü¯«,214285
MOBG_Branch_Of_Dead_Tree,1066,¿ÀÃÉ,357142
MOBG_Branch_Of_Dead_Tree,1067,¥d¨º¦h´µ,214285
MOBG_Branch_Of_Dead_Tree,1068,®ü¸ª,357142
MOBG_Branch_Of_Dead_Tree,1069,ÉÝÅÜ³½,214285
MOBG_Branch_Of_Dead_Tree,1070,®w§J¹p,357142
MOBG_Branch_Of_Dead_Tree,1071,¨¸Àe®üµs,214285
MOBG_Branch_Of_Dead_Tree,1072,¥d¯E,71428
MOBG_Branch_Of_Dead_Tree,1073,¥d©ÔÃÉ,214285
MOBG_Branch_Of_Dead_Tree,1074,¨©´ßÅ]ÆF,357142
